Período,Global,Zona do Euro,Brasil,China,França,Alemanha,Itália,Japão,Reino Unido,EUA
Jul-14,55,53.8,49.3,51.6,49.4,55.7,53.1,50.2,58.7,60.6
Aug-14,54.9,52.5,49.6,52.8,49.5,53.7,49.9,50.8,59.4,59.7
Sep-14,54.7,52,50.6,52.3,48.4,54.1,49.5,52.8,57.5,59
Oct-14,53.6,52.1,48.4,51.7,48.2,53.9,50.4,49.5,55.7,57.2
Nov-14,53.2,51.1,48.1,51.1,47.9,51.7,51.2,51.2,57.6,56.1
Dec-14,52.5,51.4,49.2,51.4,49.7,52,49.4,51.9,55.2,53.5
Jan-15,52.9,52.6,49.2,51,49.3,53.5,51.2,51.7,56.3,54.4
Feb-15,53.9,53.3,51.3,51.8,52.2,53.8,51,50,56.6,57.2
Mar-15,54.5,54,47,51.8,51.5,55.4,52.4,49.4,58.6,59.2
Apr-15,53.9,53.9,44.2,51.3,50.6,54.1,53.9,50.7,58.5,57
May-15,53.4,53.6,42.9,51.2,52,52.6,53.7,51.6,56,56
Jun-15,52.8,54.2,41,50.6,53.3,53.7,54,51.5,57.5,54.6
Jul-15,53.2,53.9,40.8,50.2,51.5,53.7,53.5,51.5,56.8,55.7
Aug-15,53.2,54.3,44.8,48.8,50.2,55,55,52.9,55.3,55.7
Sep-15,52.3,53.6,42.7,48,51.9,54.1,53.4,51.2,53.4,55
Oct-15,52.8,53.9,42.7,49.9,52.6,54.2,53.9,52.3,55.2,55
Nov-15,53.3,54.2,44.5,50.5,51,55.2,54.3,52.3,55.7,55.9
Dec-15,52.5,54.3,43.9,49.4,50.1,55.5,56,52.2,55.1,54
Jan-16,52.3,53.6,45.1,50.1,50.2,54.5,53.8,52.6,55.7,53.2
Feb-16,50.6,53,39,49.4,49.3,54.1,53.7,51,52.7,50
Mar-16,51.4,53.1,40.8,51.3,50,54,52.4,49.9,53.7,51.3
Apr-16,51.4,53,39,50.8,50.2,53.6,53.1,48.9,52,52.4
May-16,51,53.1,38.3,50.5,50.9,54.5,50.8,49.2,53.2,50.9
Jun-16,51.2,53.1,42.3,50.3,49.6,54.4,52.6,49,52.6,51.2
Jul-16,51.6,53.2,46.4,51.9,50.1,55.3,52.2,50.1,47.6,51.8
