IBOV,USD,PETR4,ABEV3,CMIG4,GGBR4,ITUB4,BBDC4,BBAS3,VALE3
91012.31,3.8799,24.06,16.15,14.3,15.2,37.01532,33.66,48.6,51.09
91564.25,3.7863,24.65,16.33,14,15.1,37.62557,33.98,48.8,49
91840.79,3.7551,24.72,16.55,13.86,15.5,36.99531,33.72,48.8,52.19
91699.05,3.7117,25.11,16.48,13.45,15.54,37.06534,34.12,48.48,51.91
92031.86,3.7138,24.96,16.15,13.38,15.56,37.53553,34.33,47.93,52.41
93613.04,3.6612,25.48,16.38,13.59,16,38.10577,34.92,47.8,53.69
93805.93,3.7341,25.26,16.85,13.83,15.59,37.84566,34.81,48.5,53.1
93658.31,3.7124,24.99,17.29,13.86,15.22,37.61557,34.58,48.7,52.38
94474.13,3.68,24.85,17.54,13.94,15.2,37.89568,34.99,49.83,52.6
94055.72,3.7079,24.83,17.7,13.83,14.9,37.30544,34.92,49.25,52.35
94393.07,3.7099,24.82,17.8,13.66,14.93,37.19539,35.09,48.78,52.65
95351.09,3.7099,25.16,17.85,14.06,15.05,37.19539,35.21,48.96,54.23
96096.75,3.6596,25.4,18,13.88,15.49,37.67559,35.57,48.55,54.76
96009.77,3.6975,25.53,18,14.1,15.5,37.36546,35.16,48.29,55.28
95103.38,3.7164,25.13,17.54,14.07,15.47,37.30544,35,48.2,55.08
96558.42,3.7343,25.43,17.18,14.23,15.65,37.55554,35.6,49.2,55.65
97677.19,3.7489,25.54,17.16,14.49,15.99,37.50552,35.96,48.95,56.15
95443.88,3.7495,24.77,17.95,14.07,15.64,38.1758,36.25,48.32,42.36
95639.33,3.7502,25.37,17.87,14.08,15.64,37.89568,35.78,49.93,42.74
96996.21,3.7514,25.62,17.97,14,16.15,38.13578,35.7,50.58,46.6
97393.74,3.812,25.58,17.51,13.85,15.65,38.79606,37.72,51.86,45.5
97861.27,3.7623,25.8,18.11,13.71,15.8,38.82607,37.25,52.11,46.25
98588.63,3.7698,26.03,18.45,13.6,15.99,39.70643,38.06,53.1,44.68
98311.2,3.7696,26.08,18.64,13.66,15.92,38.01573,38.08,54.65,44.52
94635.57,3.7719,25.49,18.09,13.13,15.33,36.41507,36.28,51.32,42.46
94405.59,3.7696,25.09,18.75,13.28,15.23,36.54512,36.83,51.66,41.59
95343.1,3.7596,25.13,18.22,13.4,15.35,37.32545,37.23,51.73,43.16
94412.91,3.7185,24.84,18.71,13.09,15.45,36.90527,37.01,50.2,42.02
96168.4,3.6814,25.72,18.67,13.28,15.5,37.78564,37.75,53.29,44.3
95842.4,3.6428,26.05,18.39,13.5,15.63,36.92528,37.17,52.08,45.49
98015.09,3.6583,26.95,18.59,13.72,15.73,37.90569,38.58,54.74,45.66
97525.91,3.6573,26.84,18.49,13.8,15.48,37.51553,38.33,54.81,45.88
96509.89,3.667,26.76,18.19,13.95,15.55,36.91528,37.46,54.27,45.25
97659.15,3.6683,27.38,18.32,14.01,15.54,37.76563,37.78,54.5,45.49
96544.81,3.6947,27.04,18.15,13.95,15.8,37.28543,37.15,52.96,45.8
96932.27,3.7149,27.4,18.32,13.9,15.1,37.96571,37.48,53.2,45.38
97885.6,3.7286,27.13,18.32,14.05,15.18,36.67518,37.17,53.09,46.99
97239.9,3.7243,26.7,18.39,14.26,15.27,36.11495,36.79,52.22,47.12
97602.5,3.7286,26.58,18.49,14.35,15.48,36.245,37.45,52.5,47.2
97307.31,3.7552,27.08,18.36,14.69,15.43,35.92487,37.03,51.9,46.83
95584.35,3.708,27.06,17.23,14.4,15.14,35.24459,36.06,50.6,47.1
94603.75,3.7532,26.7,16.76,14.06,15.03,34.85442,35.46,51.31,46.74
94216.87,3.722,26.76,16.37,13.86,15.03,34.86443,35.17,50.6,48.05
94340.17,3.699,26.77,16.69,13.77,14.73,35.34463,35.42,50.43,48.86
95364.85,3.699,26.67,16.59,14.1,14.71,35.7648,35.92,52.2,48.85
98026.62,3.6468,27.75,17.11,14.35,14.9,36.93529,37.38,53.8,49.88
97828.03,3.7317,27.5,17,14.61,14.67,37.01532,37.48,53.34,49.97
98903.88,3.722,28.1,16.9,14.7,14.98,37.41549,37.84,54.16,50.7
98604.67,3.724,28.19,16.66,14.62,14.76,36.82524,37.92,53.75,50.71
99136.74,3.7665,28.25,16.76,14.72,15.11,36.81524,38.08,54.21,50.55
99993.92,3.7467,28.74,17.31,14.88,15.52,36.87526,38.28,53.8,50.46
99588.37,3.7435,29.2,17.19,14.83,15.85,36.01491,37.46,52.65,51.9
98041.37,3.7463,28.97,17,14.43,15.62,35.20457,36.44,51.47,50.56
96729.08,3.7504,28.56,16.98,14.15,15.66,34.58431,35.64,50.39,50.89
93735.15,3.7471,27,16.72,13.78,14.94,33.56389,34.38,47.65,50.05
