,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
EUA,118,149,217,262,402,518,583,959,1281,1663,2179,2727,3499,4632,6421,7783,13677,19100,25489,33272,33276,,,,,,,,,,,,
BRA,151,151,162,200,321,372,621,793,1021,1593,1593,,,,,,,,,,,,,,,,,,,,,,
ALE,130,159,196,262,482,670,799,1040,1176,1457,1908,2078,3675,4585,5795,7272,9257,12327,15320,19848,22213,24873,24873,,,,,,,,,,
UK,116,164,207,274,322,384,459,459,802,1144,1145,1551,1960,2642,2716,4014,5067,5741,5741,,,,,,,,,,,,,,
AUS,107,128,128,200,250,297,377,452,568,681,791,1071,1314,1314,,,,,,,,,,,,,,,,,,,
ESP,120,165,222,259,400,500,673,1073,1695,2277,2277,5232,6391,7798,9942,11748,13910,17963,20410,25374,28768,28768,,,,,,,,,,,
SKO,104,204,433,602,833,977,1261,1766,2337,3150,3736,4335,5186,5621,6088,6593,7041,7314,7478,7513,7755,7869,7979,8086,8162,8236,8320,8413,8565,8652,8799,8897,8897
NOR,108,147,176,205,400,598,702,996,1090,1221,1333,1463,1550,1746,1914,2118,2383,2383,,,,,,,,,,,,,,,
JAP,105,122,147,159,170,189,214,228,241,256,274,293,331,360,420,461,502,511,581,639,639,701,773,839,825,878,889,924,963,1007,1086,1086,
ARG,128,158,225,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
